time,AUV0_x,AUV0_y,AUV0_z,AUV1_x,AUV1_y,AUV1_z,AUV2_x,AUV2_y,AUV2_z,AUV3_x,AUV3_y,AUV3_z,AUV4_x,AUV4_y,AUV4_z,AUV5_x,AUV5_y,AUV5_z,AUV6_x,AUV6_y,AUV6_z,AUV7_x,AUV7_y,AUV7_z,AUV8_x,AUV8_y,AUV8_z,AUV9_x,AUV9_y,AUV9_z,AUV10_x,AUV10_y,AUV10_z,AUV11_x,AUV11_y,AUV11_z,AUV12_x,AUV12_y,AUV12_z
223.70000000000002,134.22,266.1498266653391,-65.92500000000001,79.33698885854523,211.26681914738796,-77.98429369950544,82.92513046427213,317.4446959797933,-81.57243501830273,181.9267248708721,313.8565563096928,-85.16057350329747,181.9267279000802,218.44310659041196,-53.86570655955608,75.74884770438247,207.67868273744085,-53.86570827335886,181.92672833675513,313.8565624345453,-57.45384878774336,75.74884612062779,324.6209859817733,-50.277566393892435,178.33858369373678,222.03125795751816,-77.98429204944838,97.22701189615589,230.95091896003902,-67.6566714531107,115.11703476340045,250.63501514699578,-57.32904890382042,154.48522158892422,293.5913442681367,-60.79238896852904,127.04371486264887,273.32612360026735,-64.13092918884547
223.8,134.28,266.1985764141006,-65.95,79.38408861438975,211.30266866386543,-78.01850815931562,82.97038732823147,317.5081888672407,-81.60480658914561,182.0033108916934,313.92189209246146,-85.19110218538803,182.00331392875594,218.47527031365482,-53.88149209862684,75.79779035179673,207.71637514889773,-53.88149381252424,182.00331436126524,313.9218982188204,-57.46779143776554,75.79778876667557,324.6807930937798,-50.29519483331561,178.41701261789092,222.06157879838318,-78.0185065015292,97.28033141166186,230.99206679471328,-67.68270807967342,115.176574039146,250.6814612952392,-57.346907696900125,154.55535749317886,293.6465441511186,-60.81232101637059,127.10740064731279,273.37118757868046,-64.15685063458855
223.9,134.34,266.24724238497396,-65.975,79.43117817456047,211.33842420684093,-78.05272990174387,83.01563253997688,317.5716096290441,-81.63718398612102,182.07991002127974,313.9871572061012,-85.22163523710157,182.079913066158,218.5073371502105,-53.897270355083585,75.8467242600615,207.75397504339332,-53.897272069046174,182.079913494491,313.98716333397454,-57.48172534865331,75.84672267360486,324.74052516712436,-50.312817446666166,178.49545610734344,222.09180129598502,-78.05272823622154,97.33364564726801,231.0331248434009,-67.70874552552182,115.23611295076768,250.7278218449917,-57.364760845939166,154.62550140833645,293.7016653540735,-60.832249058780036,127.17108934506703,273.4161648661392,-64.182772808601
224.0,134.4,266.29582456264296,-66.0,79.47825754833016,211.37408577027165,-78.0869589201666,83.06086611010586,317.6349582392897,-81.66956720393009,182.15652224770918,314.0523516233734,-85.25217265446359,182.15652530036405,218.5393070966846,-53.913041335549906,75.89564943712506,207.79148241356012,-53.91304304954818,182.15652572451023,314.0523577527701,-57.49565052835493,75.89564784936408,324.80018217854274,-50.330434239242805,178.57391414884742,222.12192544825365,-78.08695724690195,97.38695460777652,231.07409309625066,-67.73478378991072,115.29565149859688,250.7740967825933,-57.38260835607069,154.69565332711127,293.7567078570492,-60.852173099400254,127.23478095326236,273.46105544997636,-64.20869571022031
224.1,134.45999999999998,266.344322931818,-66.025,79.52532674502024,211.40965334818964,-78.12119520792572,83.10608804927124,317.69823467203605,-81.70195623724652,182.23314755899776,314.11747531700365,-85.28271443347938,182.23315061938965,218.57118014977172,-53.92880504668398,75.94456589097703,207.8288972520984,-53.92880676068817,182.23315103933868,314.11748144793285,-57.50956698486004,75.9445643019433,324.85976410475615,-50.34804521637178,178.65238672908654,222.15195125321466,-78.12119352691255,97.44025829801446,231.11497154346625,-67.76082287209104,115.35518968296647,250.82028609441906,-57.40045023245472,154.76581324217926,293.8116716400952,-60.87209314189324,127.29847546923567,273.5058593175654,-64.2346193387806
224.20000000000002,134.52,266.39273747723564,-66.05000000000001,79.57238577400028,211.44512693470057,-78.1554387583285,83.15129836818119,317.7614389013118,-81.73435108071637,182.30978594309923,314.1825282596826,-85.31326057013338,182.30978901118772,218.60295630625424,-53.9445614951784,75.99347362964863,207.866219551776,-53.94456320915867,182.3097894269293,314.1825343921527,-57.52347472619973,75.9934720393737,324.9192709224706,-50.365650383407065,178.7308738346752,222.18187870898865,-78.15543706956088,97.49355672283392,231.15576017530546,-67.7868627713097,115.41472750421106,250.86638976687894,-57.41828648027793,154.83598114617902,293.8665566832632,-60.89200918993975,127.36217289030958,273.55057645631945,-64.26054369361282
224.3,134.58,266.4410681836588,-66.075,79.61943464468838,211.48050652398638,-78.18968956464774,83.1964970775989,317.8245709011165,-81.76675172895796,182.38643738790495,314.247510424064,-85.34381106038907,182.38644046364965,218.6346355630038,-53.960310687760504,76.04237266121233,207.90344930542872,-53.96031240168672,182.3864408751736,314.247516558085,-57.537373760446606,76.04237106972812,324.9787026083766,-50.38324974573019,178.80937545215914,222.21170781379203,-78.18968786811985,97.54684988711217,231.19645898208148,-67.81290348680994,115.4742649626671,250.91240778641762,-57.436117104753805,154.90615703171048,293.9213629666073,-60.911921247239846,127.42587321379408,273.5952068536919,-64.28646877404398
224.4,134.64,266.4893150358769,-66.1,79.6664733665509,211.51579211030278,-78.22394762012178,83.24168418834316,317.887630645422,-81.79915817656193,182.4631018812445,314.3124217827661,-85.37436590018943,182.463104964604,218.6662179169806,-53.97605263119208,76.09126299378231,207.9405865059604,-53.9760543450339,182.46310537190064,314.3124279183477,-57.55126409571464,76.09126140112085,325.03805913915,-50.40084330875039,178.8878915680149,222.24143856593676,-78.22394591582778,97.60013779575154,231.23706795416214,-67.83894501783087,115.53380205867269,250.95834013951531,-57.45394211112258,154.97634089133598,293.976090470184,-60.93182931751239,127.48957643698354,273.6397504971773,-64.3123945793981
224.5,134.7,266.53747801870577,-66.125,79.71350194910261,211.55098368798053,-78.25821291795408,83.28685971128797,317.95061810816986,-81.83157041809145,182.539779410885,314.3772623083719,-85.40492508545657,182.53978250181743,218.69770336523308,-53.9917873322695,76.14014463551416,207.97763114634276,-53.99178904599643,182.53978290487692,314.3772684455237,-57.56514574015948,76.14014304170772,325.0973404914513,-50.41843107790451,178.96642216864944,222.2710709638303,-78.25821120588856,97.65342045367923,231.27758708197067,-67.8649873636078,115.59333879256789,251.00418681268698,-57.47176150465138,155.04653271757977,294.03073917405163,-60.951733404495386,127.55328255716046,273.68420737430887,-64.33832110899525
224.6,134.76,266.5855571169875,-66.15,79.7605204019069,211.58608125142527,-78.29248545131375,83.33202365736268,318.01353326327353,-81.86398844808177,182.6164699645311,314.44203197342824,-85.4354886120919,182.61647306299395,218.72909190489864,-54.00751479782374,76.18901759460493,208.01458321961525,-54.007516511405136,182.61647346180678,314.4420381121596,-57.579018701978114,76.18901599968596,325.1565466419259,-50.43601305865721,179.0449672404007,222.30060500597583,-78.29248373147134,97.7066978658479,231.3180163559849,-67.89103052337234,115.65287516469385,251.04994779248293,-57.48957529063408,155.11673250292765,294.0853090582706,-60.97163351194574,127.61699157159158,273.72857747266164,-64.36424836215262
