time,AUV1_Error,AUV2_Error,AUV3_Error,AUV4_Error,AUV5_Error,AUV6_Error,AUV7_Error,AUV8_Error,AUV9_Error,AUV10_Error,AUV11_Error,AUV12_Error
210.3,0.001114258428833263,0.0011067414314215463,0.0018677905623035742,0.001007715945993936,0.001307047565933987,0.0012747684139438134,0.0017328588498140758,0.0010353163339857495,0.00023851284251180053,0.0001737558237229879,0.0001197631145521764,0.00010243776038184589
210.4,0.0011148855532489837,0.0011077991320596857,0.001869392519009141,0.0010084905944642974,0.001306958684319321,0.001275097395573768,0.0017337772199751658,0.0010358598744064488,0.00023876578042871736,0.0001738848401259513,0.00011990036662001083,0.0001025297413104485
210.5,0.0011155075201709653,0.0011088550404370213,0.0018709910151374417,0.0010092639231918002,0.001306810336143486,0.0012751995140831427,0.0017343093240034268,0.001036403035449746,0.0002378665392369148,0.00017292917113693288,0.0001192974445589788,0.00010221729211674853
210.6,0.0011161275313886986,0.0011099091295297978,0.0018725860130128444,0.0010100359110778562,0.0013067442356552927,0.001275402949672944,0.0017348046328785275,0.001036945799846744,0.00023600266464552164,0.000171187580179157,0.0001181377264192996,0.00010155037884659159
210.70000000000002,0.0011167388010766444,0.0011109613799093437,0.0018741774747505638,0.0010108065368832969,0.0013067460698647506,0.0012758316082471597,0.0017355712150328281,0.0010374881501490603,0.0002339006532126389,0.0001694413978337886,0.00011700370374755739,0.00010085092281842585
210.8,0.0011173360052534058,0.0011120117745914997,0.0018757653622523405,0.0010115757792264414,0.001306711736434187,0.0012763643033662428,0.0017366348800882598,0.0010380300687121728,0.00023244762072971044,0.00016848221539387422,0.0001164869797375509,0.00010049635024081382
210.9,0.0011179223765920138,0.001113060291086358,0.001877349637208219,0.0010123436165857557,0.0013065684812028071,0.001276779159941063,0.0017377559097997532,0.0010385715377037757,0.00023217345109717482,0.00016859889834201325,0.00011675302001538423,0.00010061323662547286
211.0,0.0011185069317294345,0.001114106900882571,0.0018789302610891195,0.001013110027298273,0.0013063502848956454,0.001276495583124475,0.001738267955191401,0.0010391125390997106,0.00023294341538440647,0.00016941986643500477,0.00011743901626709047,0.00010099791747313178
211.1,0.0011190966030474245,0.0011151515747999338,0.0018805071951584927,0.0010138749895633777,0.0013061579312193014,0.0012762919289902243,0.0017384255985512687,0.0010396530546796935,0.0002339607969944471,0.00017008595065151353,0.00011780346551471399,0.00010115839803859709
211.20000000000002,0.0011196915353083095,0.001116194285580893,0.0018820804004593878,0.001014638481437479,0.0013060581878577852,0.0012766807735226171,0.0017388033719126688,0.0010401930660450917,0.00023435022318592499,0.00016995828462224992,0.00011749390348097457,0.00010085930798964882
211.3,0.0011202868358362239,0.0011172350126015527,0.00188364983781887,0.0010154004808364191,0.0013060356248353361,0.0012774358643653045,0.0017396531012875782,0.0010407325546047382,0.00023407206830587419,0.00016937537579306847,0.00011695225096989457,0.00010037701846102397
